Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Effective Machine Learning-based Access Control Administration through Unlearning,https://ieeexplore.ieee.org/abstract/document/10190682/,10.1109/eurospw59978.2023.00011,False,,2023,"https://scholar.google.com/scholar?hl=en&q=""access control"" AND ""machine learning""&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2023",,False,,
Machine learning-based adaptive access control mechanism for private blockchain storage,https://ieeexplore.ieee.org/abstract/document/10196900/,10.1109/compsac57700.2023.00188,False,,2023,"https://scholar.google.com/scholar?hl=en&q=""access control"" AND ""machine learning""&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2023",,False,,
